year,island,month,Totalamount
1993,HAWAI'I ISLAND,Apr,92161.04
1993,HAWAI'I ISLAND,May,85313.55
1993,HAWAI'I ISLAND,Jun,89757.08
1993,HAWAI'I ISLAND,Jul,96290.36
1993,HAWAI'I ISLAND,Aug,95297.36
1993,HAWAI'I ISLAND,Sep,88068.41
1993,HAWAI'I ISLAND,Oct,97456.70
1993,HAWAI'I ISLAND,Nov,84737.49
1993,HAWAI'I ISLAND,Dec,79407.67
1994,O'AHU,Jan,351456.83
1994,O'AHU,Feb,378670.95
1994,O'AHU,Mar,414477.36
1994,O'AHU,Apr,335845.65
1994,O'AHU,May,350341.57
1994,O'AHU,Jun,396776.55
1994,O'AHU,Jul,425867.78
1994,O'AHU,Aug,451915.50
1994,O'AHU,Sep,375036.13
1994,O'AHU,Oct,354362.51
1994,O'AHU,Nov,377394.16
1994,O'AHU,Dec,417591.11
1994,MAUI,Jan,183811.59
1994,MAUI,Feb,196375.76
1994,MAUI,Mar,207053.45
1994,MAUI,Apr,190257.76
1994,MAUI,May,176957.96
1994,MAUI,Jun,194499.57
1994,MAUI,Jul,206397.12
1994,MAUI,Aug,212362.06
1994,MAUI,Sep,165134.32
1994,MAUI,Oct,178631.62
1994,MAUI,Nov,190206.75
1994,MAUI,Dec,187121.08
1994,MOLOKA'I,Jan,8124.99
1994,MOLOKA'I,Feb,8120.36
1994,MOLOKA'I,Mar,7005.39
1994,MOLOKA'I,Apr,5793.61
1994,MOLOKA'I,May,5634.23
1994,MOLOKA'I,Jun,6414.07
1994,MOLOKA'I,Jul,6996.10
1994,MOLOKA'I,Aug,5436.41
1994,MOLOKA'I,Sep,5115.26
1994,MOLOKA'I,Oct,6211.14
1994,MOLOKA'I,Nov,6583.32
1994,MOLOKA'I,Dec,7699.84
1994,LĀNA'I,Jan,8036.83
1994,LĀNA'I,Feb,7107.27
1994,LĀNA'I,Mar,6801.13
1994,LĀNA'I,Apr,6562.73
1994,LĀNA'I,May,5749.02
1994,LĀNA'I,Jun,6260.92
1994,LĀNA'I,Jul,6881.25
1994,LĀNA'I,Aug,5958.09
1994,LĀNA'I,Sep,4672.29
1994,LĀNA'I,Oct,6027.04
1994,LĀNA'I,Nov,7201.06
1994,LĀNA'I,Dec,6754.86
1994,KAUA'I,Jan,69400.73
1994,KAUA'I,Feb,72532.50
1994,KAUA'I,Mar,70268.73
1994,KAUA'I,Apr,69053.48
1994,KAUA'I,May,70867.36
1994,KAUA'I,Jun,74317.26
1994,KAUA'I,Jul,79483.93
1994,KAUA'I,Aug,74310.25
1994,KAUA'I,Sep,64891.53
1994,KAUA'I,Oct,71456.32
1994,KAUA'I,Nov,72384.58
1994,KAUA'I,Dec,71752.07
1994,HAWAI'I ISLAND,Jan,87072.19
1994,HAWAI'I ISLAND,Feb,99349.21
1994,HAWAI'I ISLAND,Mar,104902.34
1994,HAWAI'I ISLAND,Apr,89290.88
1994,HAWAI'I ISLAND,May,84658.03
1994,HAWAI'I ISLAND,Jun,91429.84
1994,HAWAI'I ISLAND,Jul,97626.09
1994,HAWAI'I ISLAND,Aug,86078.84
1994,HAWAI'I ISLAND,Sep,71164.88
1994,HAWAI'I ISLAND,Oct,93455.46
1994,HAWAI'I ISLAND,Nov,87331.97
1994,HAWAI'I ISLAND,Dec,87175.25
1995,O'AHU,Jan,387833.19
1995,O'AHU,Feb,356399.80
1995,O'AHU,Mar,402418.30
1995,O'AHU,Apr,339305.98
1995,O'AHU,May,375640.64
1995,O'AHU,Jun,419989.37
1995,O'AHU,Jul,463948.64
1995,O'AHU,Aug,475909.65
1995,O'AHU,Sep,398003.55
1995,O'AHU,Oct,381570.74
1995,O'AHU,Nov,385376.20
1995,O'AHU,Dec,431156.01
1995,MAUI,Jan,180431.63
1995,MAUI,Feb,174289.55
1995,MAUI,Mar,199271.17
1995,MAUI,Apr,184094.85
1995,MAUI,May,161862.45
1995,MAUI,Jun,194670.63
1995,MAUI,Jul,228239.52
1995,MAUI,Aug,223613.46
1995,MAUI,Sep,175430.50
1995,MAUI,Oct,181520.20
1995,MAUI,Nov,183386.93
1995,MAUI,Dec,181462.46
1995,MOLOKA'I,Jan,7475.09
1995,MOLOKA'I,Feb,8629.35
1995,MOLOKA'I,Mar,7217.70
1995,MOLOKA'I,Apr,6264.31
1995,MOLOKA'I,May,5711.64
1995,MOLOKA'I,Jun,5577.70
1995,MOLOKA'I,Jul,7477.23
1995,MOLOKA'I,Aug,6422.19
1995,MOLOKA'I,Sep,6252.92
1995,MOLOKA'I,Oct,7261.45
1995,MOLOKA'I,Nov,7003.94
1995,MOLOKA'I,Dec,7815.59
1995,LĀNA'I,Jan,8191.32
1995,LĀNA'I,Feb,8851.46
1995,LĀNA'I,Mar,7662.65
1995,LĀNA'I,Apr,7488.57
1995,LĀNA'I,May,5926.84
1995,LĀNA'I,Jun,7484.71
1995,LĀNA'I,Jul,8197.21
1995,LĀNA'I,Aug,8087.09
1995,LĀNA'I,Sep,6674.68
1995,LĀNA'I,Oct,8165.06
1995,LĀNA'I,Nov,7664.19
1995,LĀNA'I,Dec,7958.89
1995,KAUA'I,Jan,67185.56
1995,KAUA'I,Feb,69941.18
1995,KAUA'I,Mar,77549.57
1995,KAUA'I,Apr,65976.13
1995,KAUA'I,May,68525.61
1995,KAUA'I,Jun,82167.18
1995,KAUA'I,Jul,87866.47
1995,KAUA'I,Aug,88350.82
1995,KAUA'I,Sep,75891.98
1995,KAUA'I,Oct,85155.66
1995,KAUA'I,Nov,82884.65
1995,KAUA'I,Dec,77655.28
1995,HAWAI'I ISLAND,Jan,92042.81
1995,HAWAI'I ISLAND,Feb,91680.30
1995,HAWAI'I ISLAND,Mar,99565.29
1995,HAWAI'I ISLAND,Apr,81301.27
1995,HAWAI'I ISLAND,May,81931.23
1995,HAWAI'I ISLAND,Jun,94860.55
1995,HAWAI'I ISLAND,Jul,114977.23
1995,HAWAI'I ISLAND,Aug,89417.46
1995,HAWAI'I ISLAND,Sep,69947.90
1995,HAWAI'I ISLAND,Oct,93076.73
1995,HAWAI'I ISLAND,Nov,82860.87
1995,HAWAI'I ISLAND,Dec,89385.50
1996,O'AHU,Jan,412036.89
1996,O'AHU,Feb,424968.31
1996,O'AHU,Mar,417381.05
1996,O'AHU,Apr,365509.76
1996,O'AHU,May,387715.31
1996,O'AHU,Jun,429883.93
1996,O'AHU,Jul,447746.31
1996,O'AHU,Aug,455185.07
1996,O'AHU,Sep,391892.75
1996,O'AHU,Oct,382327.51
1996,O'AHU,Nov,372607.93
1996,O'AHU,Dec,416628.98
1996,MAUI,Jan,185330.71
1996,MAUI,Feb,202538.60
1996,MAUI,Mar,197882.77
1996,MAUI,Apr,180106.26
1996,MAUI,May,175470.12
1996,MAUI,Jun,189274.24
1996,MAUI,Jul,232662.05
1996,MAUI,Aug,211022.05
1996,MAUI,Sep,167483.54
1996,MAUI,Oct,167528.63
1996,MAUI,Nov,175177.14
1996,MAUI,Dec,175978.10
1996,MOLOKA'I,Jan,8874.00
1996,MOLOKA'I,Feb,7329.31
1996,MOLOKA'I,Mar,6744.63
1996,MOLOKA'I,Apr,5387.86
1996,MOLOKA'I,May,6416.85
1996,MOLOKA'I,Jun,6271.47
1996,MOLOKA'I,Jul,6351.85
1996,MOLOKA'I,Aug,5664.23
1996,MOLOKA'I,Sep,4913.81
1996,MOLOKA'I,Oct,6109.21
1996,MOLOKA'I,Nov,5558.04
1996,MOLOKA'I,Dec,7848.53
1996,LĀNA'I,Jan,9052.53
1996,LĀNA'I,Feb,9184.74
1996,LĀNA'I,Mar,7878.91
1996,LĀNA'I,Apr,7759.92
1996,LĀNA'I,May,7486.15
1996,LĀNA'I,Jun,8342.96
1996,LĀNA'I,Jul,6524.10
1996,LĀNA'I,Aug,8287.97
1996,LĀNA'I,Sep,6465.67
1996,LĀNA'I,Oct,8823.03
1996,LĀNA'I,Nov,6983.90
1996,LĀNA'I,Dec,7501.89
1996,KAUA'I,Jan,75984.79
1996,KAUA'I,Feb,73686.03
1996,KAUA'I,Mar,78704.94
1996,KAUA'I,Apr,75393.14
1996,KAUA'I,May,82837.73
1996,KAUA'I,Jun,87229.40
1996,KAUA'I,Jul,93231.12
1996,KAUA'I,Aug,87533.11
1996,KAUA'I,Sep,72230.26
1996,KAUA'I,Oct,101072.99
1996,KAUA'I,Nov,75716.82
1996,KAUA'I,Dec,71816.00
1996,HAWAI'I ISLAND,Jan,86234.99
1996,HAWAI'I ISLAND,Feb,92136.99
1996,HAWAI'I ISLAND,Mar,92972.42
1996,HAWAI'I ISLAND,Apr,76406.74
1996,HAWAI'I ISLAND,May,92845.12
1996,HAWAI'I ISLAND,Jun,115098.88
1996,HAWAI'I ISLAND,Jul,111869.76
1996,HAWAI'I ISLAND,Aug,111898.80
1996,HAWAI'I ISLAND,Sep,86244.89
1996,HAWAI'I ISLAND,Oct,99136.45
1996,HAWAI'I ISLAND,Nov,95846.58
1996,HAWAI'I ISLAND,Dec,103008.18
1997,O'AHU,Jan,381346.69
1997,O'AHU,Feb,401145.75
1997,O'AHU,Mar,433629.04
1997,O'AHU,Apr,373225.13
1997,O'AHU,May,380859.10
1997,O'AHU,Jun,414092.95
1997,O'AHU,Jul,456421.68
1997,O'AHU,Aug,450403.34
1997,O'AHU,Sep,405095.06
1997,O'AHU,Oct,386991.28
1997,O'AHU,Nov,376457.36
1997,O'AHU,Dec,415944.12
1997,MAUI,Jan,178782.86
1997,MAUI,Feb,185001.53
1997,MAUI,Mar,213427.00
1997,MAUI,Apr,189073.95
1997,MAUI,May,165752.85
1997,MAUI,Jun,192694.39
1997,MAUI,Jul,222216.43
1997,MAUI,Aug,207554.91
1997,MAUI,Sep,163000.79
1997,MAUI,Oct,189133.98
1997,MAUI,Nov,176785.26
1997,MAUI,Dec,177496.72
1997,MOLOKA'I,Jan,8085.55
1997,MOLOKA'I,Feb,7424.27
1997,MOLOKA'I,Mar,7615.72
1997,MOLOKA'I,Apr,7270.87
1997,MOLOKA'I,May,9162.96
1997,MOLOKA'I,Jun,6178.94
1997,MOLOKA'I,Jul,6228.37
1997,MOLOKA'I,Aug,4721.70
1997,MOLOKA'I,Sep,5706.26
1997,MOLOKA'I,Oct,5661.97
1997,MOLOKA'I,Nov,6183.21
1997,MOLOKA'I,Dec,5681.76
1997,LĀNA'I,Jan,9551.49
1997,LĀNA'I,Feb,10322.01
1997,LĀNA'I,Mar,10891.47
1997,LĀNA'I,Apr,11657.24
1997,LĀNA'I,May,9278.14
1997,LĀNA'I,Jun,8668.87
1997,LĀNA'I,Jul,8892.97
1997,LĀNA'I,Aug,6795.15
1997,LĀNA'I,Sep,6684.59
1997,LĀNA'I,Oct,9224.98
1997,LĀNA'I,Nov,6479.14
1997,LĀNA'I,Dec,7589.77
1997,KAUA'I,Jan,73168.05
1997,KAUA'I,Feb,74549.83
1997,KAUA'I,Mar,86564.74
1997,KAUA'I,Apr,97084.48
1997,KAUA'I,May,80464.64
1997,KAUA'I,Jun,88850.97
1997,KAUA'I,Jul,89629.97
1997,KAUA'I,Aug,89072.43
1997,KAUA'I,Sep,77153.54
1997,KAUA'I,Oct,82393.81
1997,KAUA'I,Nov,76687.67
1997,KAUA'I,Dec,81466.59
1997,HAWAI'I ISLAND,Jan,102236.83
1997,HAWAI'I ISLAND,Feb,110519.17
1997,HAWAI'I ISLAND,Mar,115807.40
1997,HAWAI'I ISLAND,Apr,97991.15
1997,HAWAI'I ISLAND,May,88276.96
1997,HAWAI'I ISLAND,Jun,92350.10
1997,HAWAI'I ISLAND,Jul,112017.23
1997,HAWAI'I ISLAND,Aug,120100.36
1997,HAWAI'I ISLAND,Sep,73554.02
1997,HAWAI'I ISLAND,Oct,97671.11
1997,HAWAI'I ISLAND,Nov,92452.50
1997,HAWAI'I ISLAND,Dec,102104.15
1998,O'AHU,Jan,388518.58
1998,O'AHU,Feb,382939.63
1998,O'AHU,Mar,392837.98
1998,O'AHU,Apr,361311.17
1998,O'AHU,May,356711.95
1998,O'AHU,Jun,388100.28
1998,O'AHU,Jul,439223.36
1998,O'AHU,Aug,418598.87
1998,O'AHU,Sep,371064.07
1998,O'AHU,Oct,351449.44
1998,O'AHU,Nov,355801.30
1998,O'AHU,Dec,395277.25
1998,MAUI,Jan,176903.74
1998,MAUI,Feb,187939.51
1998,MAUI,Mar,204206.24
1998,MAUI,Apr,200098.08
1998,MAUI,May,180249.66
1998,MAUI,Jun,191719.16
1998,MAUI,Jul,204188.20
1998,MAUI,Aug,200915.89
1998,MAUI,Sep,161407.58
1998,MAUI,Oct,182391.77
1998,MAUI,Nov,170065.31
1998,MAUI,Dec,183826.88
1998,MOLOKA'I,Jan,7085.64
1998,MOLOKA'I,Feb,7996.95
1998,MOLOKA'I,Mar,7061.16
1998,MOLOKA'I,Apr,5744.28
1998,MOLOKA'I,May,6808.59
1998,MOLOKA'I,Jun,5356.37
1998,MOLOKA'I,Jul,5740.66
1998,MOLOKA'I,Aug,5031.01
1998,MOLOKA'I,Sep,4735.29
1998,MOLOKA'I,Oct,6197.18
1998,MOLOKA'I,Nov,6323.71
1998,MOLOKA'I,Dec,7164.10
1998,LĀNA'I,Jan,8260.67
1998,LĀNA'I,Feb,9572.51
1998,LĀNA'I,Mar,10233.65
1998,LĀNA'I,Apr,7773.95
1998,LĀNA'I,May,7893.72
1998,LĀNA'I,Jun,5847.68
1998,LĀNA'I,Jul,7541.94
1998,LĀNA'I,Aug,7005.75
1998,LĀNA'I,Sep,7284.82
1998,LĀNA'I,Oct,8745.82
1998,LĀNA'I,Nov,8219.87
1998,LĀNA'I,Dec,9053.33
1998,KAUA'I,Jan,74767.86
1998,KAUA'I,Feb,82890.08
1998,KAUA'I,Mar,91661.42
1998,KAUA'I,Apr,90300.76
1998,KAUA'I,May,92272.44
1998,KAUA'I,Jun,97335.10
1998,KAUA'I,Jul,102066.02
1998,KAUA'I,Aug,95100.71
1998,KAUA'I,Sep,86650.55
1998,KAUA'I,Oct,95458.39
1998,KAUA'I,Nov,83517.43
1998,KAUA'I,Dec,86378.82
1998,HAWAI'I ISLAND,Jan,112386.62
