country,year,pop,island,month,Totalamount
any,1992,1,LĀNA'I,Oct,6635.66
any,1992,1,LĀNA'I,Nov,7457.76
any,1992,1,LĀNA'I,Dec,6083.72
any,1992,1,KAUA'I,Jan,87502.64
any,1992,1,KAUA'I,Feb,77022.96
any,1992,1,KAUA'I,Mar,91785.54
any,1992,1,KAUA'I,Apr,93797.28
any,1992,1,KAUA'I,May,98215.93
any,1992,1,KAUA'I,Jun,102138.63
any,1992,1,KAUA'I,Jul,110821.58
any,1992,1,KAUA'I,Aug,108263.69
any,1992,1,KAUA'I,Sep,49725.16
any,1992,1,KAUA'I,Oct,16187.14
any,1992,1,KAUA'I,Nov,21154.36
any,1992,1,KAUA'I,Dec,25115.42
any,1992,1,HAWAI'I ISLAND,Jan,94132.73
any,1992,1,HAWAI'I ISLAND,Feb,79322.53
any,1992,1,HAWAI'I ISLAND,Mar,89798.92
any,1992,1,HAWAI'I ISLAND,Apr,88855.12
any,1992,1,HAWAI'I ISLAND,May,86430.64
any,1992,1,HAWAI'I ISLAND,Jun,98135.10
any,1992,1,HAWAI'I ISLAND,Jul,98208.17
any,1992,1,HAWAI'I ISLAND,Aug,90332.64
any,1992,1,HAWAI'I ISLAND,Sep,85799.56
any,1992,1,HAWAI'I ISLAND,Oct,115369.38
any,1992,1,HAWAI'I ISLAND,Nov,108965.37
any,1992,1,HAWAI'I ISLAND,Dec,104628.16
any,1992,1,HILO,Jan,32647.87
any,1992,1,HILO,Feb,27507.53
any,1992,1,HILO,Mar,35485.37
any,1992,1,HILO,Apr,30406.81
any,1992,1,HILO,May,29032.66
any,1992,1,HILO,Jun,37303.15
any,1992,1,HILO,Jul,36850.34
any,1992,1,HILO,Aug,33706.43
any,1992,1,HILO,Sep,31160.29
any,1992,1,HILO,Oct,36324.93
any,1992,1,HILO,Nov,35113.04
any,1992,1,HILO,Dec,37581.30
any,1992,1,KONA,Jan,81531.46
any,1992,1,KONA,Feb,67609.94
any,1992,1,KONA,Mar,76737.97
any,1992,1,KONA,Apr,75314.13
any,1992,1,KONA,May,72952.38
any,1992,1,KONA,Jun,80927.77
any,1992,1,KONA,Jul,83362.63
any,1992,1,KONA,Aug,75533.54
any,1992,1,KONA,Sep,72505.72
any,1992,1,KONA,Oct,101005.46
any,1992,1,KONA,Nov,94389.71
any,1992,1,KONA,Dec,88825.29
any,1993,1,O'AHU,Jan,387528.45
any,1993,1,O'AHU,Feb,340022.39
any,1993,1,O'AHU,Mar,385435.90
any,1993,1,O'AHU,Apr,340057.71
any,1993,1,O'AHU,May,362777.30
